"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2018";"Zuid-Holland (PV)";1701657;676480;1025177;205035;667907;141917;530683;207491;198609;88394
"Totaal";"2019";"Zuid-Holland (PV)";1701656;680142;1021514;207591;660615;142968;528857;206609;198192;87856
"Totaal";"2020";"Zuid-Holland (PV)";1719988;691263;1028725;211697;661900;144643;531961;208510;199238;89016
"Totaal";"2021";"Zuid-Holland (PV)";1729250;693442;1035808;221221;658282;145612;538117;209084;199397;89210
"Totaal";"2022";"Zuid-Holland (PV)";1751086;710917;1040169;226047;656905;146271;541925;209572;199276;89396
"Totaal";"2023";"Zuid-Holland (PV)";1780539;732348;1048191;228496;659475;149075;544740;212662;200368;90421
"Totaal";"2024";"Zuid-Holland (PV)";1803209;746987;1056222;231276;661527;151037;550310;215508;200048;90356
"Totaal";"2025";"Zuid-Holland (PV)";1815974;755741;1060233;232028;662257;153019;551376;217572;200899;90386
"Totaal";"2010";"Zeeland (PV)";167770;55185;112585;16090;86235;9440;61926;20347;20792;9520
"Totaal";"2011";"Zeeland (PV)";168622;56067;112555;16361;85935;9631;62196;20394;20538;9427
"Totaal";"2012";"Zeeland (PV)";169733;57296;112437;16396;85476;9938;62564;20247;20321;9305
"Totaal";"2013";"Zeeland (PV)";170584;58161;112423;16692;85012;10126;62704;20542;20064;9113
"Totaal";"2014";"Zeeland (PV)";170777;58522;112255;17006;84239;10412;62831;20672;19862;8890
"Totaal";"2015";"Zeeland (PV)";171284;59163;112121;17288;83706;10555;63046;20405;19789;8881
"Totaal";"2016";"Zeeland (PV)";171896;59917;111979;17407;83215;10774;62956;20470;19618;8935
"Totaal";"2017";"Zeeland (PV)";172925;61188;111737;17500;82815;10849;62921;20318;19421;9077
"Totaal";"2018";"Zeeland (PV)";173950;62101;111849;17802;82541;10958;63248;20309;19191;9101
"Totaal";"2019";"Zeeland (PV)";175079;62984;112095;18105;82234;11228;63629;20245;19190;9031
"Totaal";"2020";"Zeeland (PV)";175699;63571;112128;18413;81929;11258;63868;20182;19012;9066
"Totaal";"2021";"Zeeland (PV)";177236;64737;112499;19063;81621;11277;64282;20175;18950;9092
"Totaal";"2022";"Zeeland (PV)";178648;66022;112626;19430;81300;11303;64515;20070;18977;9064
"Totaal";"2023";"Zeeland (PV)";181173;67896;113277;19607;81470;11594;64822;20304;18907;9244
"Totaal";"2024";"Zeeland (PV)";182164;68604;113560;19870;81324;11720;65442;20438;18550;9130
"Totaal";"2025";"Zeeland (PV)";183267;69688;113579;19928;81087;11889;65730;20337;18423;9089
"Totaal";"2010";"Noord-Brabant (PV)";1058245;344849;713396;121738;522891;61923;365760;133215;152238;62183
"Totaal";"2011";"Noord-Brabant (PV)";1066749;350946;715803;125989;520846;63512;369252;132545;152365;61641
"Totaal";"2012";"Noord-Brabant (PV)";1076557;358640;717917;127744;518675;66084;371909;133223;152119;60666
"Totaal";"2013";"Noord-Brabant (PV)";1086264;365694;720570;131330;516159;67700;375948;133306;151609;59707
"Totaal";"2014";"Noord-Brabant (PV)";1092270;368575;723695;135626;512825;70007;380394;134317;150746;58238
"Totaal";"2015";"Noord-Brabant (PV)";1103673;378724;724949;138724;509572;71440;382073;134999;150567;57310
"Totaal";"2016";"Noord-Brabant (PV)";1111506;383891;727615;141987;507025;73485;385038;135694;150019;56864
"Totaal";"2017";"Noord-Brabant (PV)";1122806;392128;730678;146177;505039;74387;387346;135675;150357;57300
"Totaal";"2018";"Noord-Brabant (PV)";1134720;400094;734626;150124;503757;75880;391635;136045;149913;57033
"Totaal";"2019";"Noord-Brabant (PV)";1146307;407466;738841;153256;503029;77503;395637;136525;149646;57033
"Totaal";"2020";"Noord-Brabant (PV)";1157461;413500;743961;157191;502758;78928;399990;137589;149473;56909
"Totaal";"2021";"Noord-Brabant (PV)";1165895;418098;747797;163870;499208;79598;404204;138183;148611;56799
"Totaal";"2022";"Noord-Brabant (PV)";1181239;429751;751488;167629;498499;80130;407760;138944;148341;56443
"Totaal";"2023";"Noord-Brabant (PV)";1200786;443124;757662;169155;500890;82229;410392;141468;148889;56913
"Totaal";"2024";"Noord-Brabant (PV)";1215421;452777;762644;171474;501570;83807;415315;143298;147902;56129
"Totaal";"2025";"Noord-Brabant (PV)";1227495;461581;765914;172560;502072;85143;417624;144274;148112;55904
"Totaal";"2010";"Limburg (PV)";504423;170114;334309;52953;246678;31611;182189;65842;64930;21348
"Totaal";"2011";"Limburg (PV)";507692;174099;333593;54566;244327;32231;183093;65385;64208;20907
"Totaal";"2012";"Limburg (PV)";512426;179157;333269;55419;242394;32999;184457;65215;63155;20442
"Totaal";"2013";"Limburg (PV)";516194;183642;332552;56643;239977;33512;185390;65160;62096;19906
"Totaal";"2014";"Limburg (PV)";516595;184147;332448;58479;237228;34394;187005;65368;60833;19242
"Totaal";"2015";"Limburg (PV)";519289;188190;331099;59470;234593;34766;187444;65012;59722;18921
"Totaal";"2016";"Limburg (PV)";521444;191353;330091;60618;231868;35338;188298;64189;59002;18602
"Totaal";"2017";"Limburg (PV)";525935;196422;329513;62170;229656;35471;188769;63633;58387;18724
"Totaal";"2018";"Limburg (PV)";527922;198652;329270;63490;227902;35671;189814;63313;57674;18469
